x,y,group
-0.55232,-2.4345,5
7.7716,-4.2305,5
3.0521,-3.024,5
-3.6614,-1.4802,5
6.27,-3.9929,5
-0.35325,-2.3659,5
7.7281,-4.0511,5
2.2715,-2.954,5
3.8755,-3.276,5
2.1647,-3.043,5
3.2309,-3.1069,5
5.018,-3.5344,5
-0.38658,-2.3495,5
2.0522,-2.8629,5
-2.3254,-2.0583,5
6.3847,-3.8943,5
-4.0194,-1.4905,5
8.8542,-4.5928,5
0.41411,-2.6148,5
7.6914,-4.0384,5
3.2043,-2.9876,5
-2.1084,-2.1649,5
6.766,-3.8979,5
5.8269,-3.6385,5
-2.8061,-2.0239,5
8.0551,-4.1203,5
5.8504,-3.7891,5
-3.7774,-1.469,5
9.4307,-4.481,5
-2.6458,-1.9016,5
5.4953,-3.445,5
-3.1173,-1.6905,5
1.3786,-2.7445,5
2.0292,-2.6948,5
-1.5382,-2.0558,5
4.2854,-3.556,5
-4.1106,-1.6405,5
-0.78851,-2.242,5
4.0507,-3.3139,5
-4.569,-1.4071,5
8.3868,-4.2418,5
8.1716,-4.3559,5
9.3481,-4.4156,5
7.781,-4.1031,5
5.1737,-3.7234,5
-2.5295,2.7862,6
-2.0072,2.6382,6
-1.6652,2.6664,6
-2.5195,2.877,6
3.3022,1.3068,6
2.2033,1.5925,6
0.2209,2.1223,6
-1.7574,2.7077,6
-2.2333,2.7586,6
3.0972,1.149,6
0.73187,1.8224,6
-0.41612,2.5018,6
-1.7409,2.699,6
2.4601,1.383,6
3.0911,1.4416,6
-0.51334,2.3166,6
3.749,1.1283,6
-2.8666,3.0846,6
-0.86517,2.3791,6
-2.6265,2.7066,6
3.796,1.1405,6
-0.68725,2.1994,6
-3.4998,3.0028,6
3.6551,0.98015,6
-3.0324,3.0516,6
-3.4615,3.0209,6
3.6724,1.2806,6
3.4679,1.1056,6
-0.68805,2.599,6
0.98133,1.7785,6
-2.0523,2.7841,6
0.37212,2.0722,6
4.4673,-2.6854,7
0.61806,-1.1767,7
1.0157,-1.2325,7
3.8027,-2.2154,7
1.88,-1.6849,7
1.8128,-1.5433,7
6.8797,-3.605,7
4.3883,-2.5822,7
2.6755,-1.8901,7
1.2952,-1.3651,7
6.0431,-3.4104,7
1.0343,-1.236,7
5.6245,-2.9802,7
2.5251,-1.639,7
5.7309,-3.0097,7
5.9294,-3.0607,7
0.64886,-1.0724,7
1.3873,-1.2069,7
7.1226,-3.6347,7
5.923,-3.22,7
4.4395,-2.5026,7
2.6605,-1.8015,7
2.1009,-1.7518,7
1.3722,-1.5087,7
1.9391,-1.4741,7
5.1226,-2.7059,7
5.6017,-3.1106,7
3.1958,-2.1688,7
2.4058,-1.7691,7
4.183,-2.5002,7
5.5994,-3.0029,7
4.7829,-2.5712,7
0.68843,-1.1151,7
1.6432,-1.4227,7
3.2327,-2.0779,7
3.6946,-2.206,7
4.9597,-2.7,7
2.4108,-1.641,7
1.2528,-1.0744,7
6.3562,-3.3301,7
3.4457,-2.2705,7
2.8486,-2.0816,7
1.3419,-1.2546,7
4.0926,-2.3635,7
6.4004,-3.3726,7
5.1986,-2.7845,7
1.3777,-1.3618,7
1.2265,-1.2419,7
4.6442,-2.7882,7
5.7338,-3.0253,7
4.1369,-2.5439,7
3.8694,-2.479,7
2.5399,-1.7395,7
5.4879,-3.0076,7
6.0393,-3.1211,7
4.8287,-2.8961,7
6.2289,-3.4144,7
1.6708,-1.4524,7
5.2413,-2.9267,7
